Date, Time, , , User ID, Input bytes, Input packets, Output bytes, Output packets
22 04 2016,00:08:19, , ,0,217483177,319211,28065142,44506
 , , , ,10018,0,0,0,0
 , , , ,10070,11304,118,5100,60
 , , , ,10016,0,0,23536200,12101
 , , , ,10061,780,15,5520,15
 , , , ,10007,1092,15,720,9
 , , , ,10035,2965,16,329120,1397
 , , , ,10069,2985,15,2985,15
 , , , ,10005,3081,14,10674,12
 , , , ,74,7467,58,222852,445
 , , , ,93,4686,44,1565,18
 , , , ,10020,0,0,3584,4
 , , , ,10066,107668,1236,10234588,133496
 , , , ,10017,0,0,0,0
 , , , ,10037,0,0,0,0
 , , , ,10053,0,0,0,0
 , , , ,10022,0,0,0,0
 , , , ,10058,0,0,0,0
 , , , ,10026,0,0,0,0
 , , , ,10042,0,0,0,0
 , , , ,10019,344888,417,338908,950
 , , , ,10001,0,0,0,0
 , , , ,28,0,0,0,0
 , , , ,10068,0,0,0,0
 , , , ,10048,0,0,0,0
 , , , ,10036,0,0,0,0
 , , , ,10055,0,0,0,0
 , , , ,10071,0,0,0,0
 , , , ,10039,0,0,0,0
 , , , ,10046,0,0,0,0
 , , , ,81,0,0,0,0
 , , , ,10023,0,0,0,0
 , , , ,998,0,0,0,0
 , , , ,10038,0,0,0,0
 , , , ,10025,0,0,0,0
 , , , ,10050,0,0,0,0
 , , , ,10078,0,0,0,0
 , , , ,38,0,0,0,0
 , , , ,10081,0,0,0,0
 , , , ,10080,0,0,0,0
 , , , ,10079,0,0,0,0
 , , , ,10040,0,0,0,0
22 04 2016,00:23:19, , ,0,183562,2113,1799865,1811
 , , , ,10018,0,0,0,0
 , , , ,10070,12384,120,7700,62
 , , , ,10016,82320,1259,731264,2303
 , , , ,10061,868,16,5520,15
 , , , ,10007,1092,15,720,9
 , , , ,10035,896,6,3584,4
 , , , ,10069,3184,16,6760,21
 , , , ,10005,3029,13,22024,25
 , , , ,74,0,0,120020,253
 , , , ,93,3681,26,2086,24
 , , , ,10020,0,0,7168,8
 , , , ,10066,60840,717,159640,469
 , , , ,10017,0,0,0,0
 , , , ,10037,0,0,3584,4
 , , , ,10053,0,0,0,0
 , , , ,10022,0,0,0,0
 , , , ,10058,0,0,0,0
 , , , ,10026,0,0,0,0
 , , , ,10042,0,0,10704,12
 , , , ,10019,0,0,0,0
 , , , ,10001,0,0,0,0
 , , , ,28,0,0,0,0
 , , , ,10068,0,0,0,0
