Date, Time, , , User ID, Input bytes, Input packets, Output bytes, Output packets
21 04 2016,00:07:43, , ,0,219438,2019,127086,1482
 , , , ,10018,0,0,0,0
 , , , ,10070,9192,89,3960,45
 , , , ,10016,0,0,41816,201
 , , , ,10061,780,15,5520,15
 , , , ,10007,1456,20,960,12
 , , , ,10035,0,0,0,0
 , , , ,10069,3184,16,3184,16
 , , , ,10005,6110,27,22372,24
 , , , ,74,0,0,237056,516
 , , , ,93,169,3,522,6
 , , , ,10020,0,0,3584,4
 , , , ,10066,0,0,0,0
 , , , ,10017,0,0,0,0
 , , , ,10037,0,0,0,0
 , , , ,10053,0,0,0,0
 , , , ,10022,0,0,0,0
 , , , ,10058,0,0,0,0
 , , , ,10026,0,0,0,0
 , , , ,10042,0,0,0,0
 , , , ,10019,0,0,0,0
 , , , ,10001,0,0,0,0
 , , , ,28,0,0,0,0
 , , , ,10068,0,0,0,0
 , , , ,10048,0,0,0,0
 , , , ,10036,0,0,0,0
 , , , ,10055,0,0,0,0
 , , , ,10071,0,0,0,0
 , , , ,10039,0,0,0,0
 , , , ,10046,0,0,0,0
 , , , ,81,0,0,0,0
 , , , ,10023,0,0,0,0
 , , , ,998,0,0,0,0
 , , , ,10038,0,0,0,0
 , , , ,10025,0,0,0,0
 , , , ,10050,0,0,0,0
 , , , ,10078,0,0,0,0
21 04 2016,00:22:43, , ,0,221740,3035,663660,866
 , , , ,10018,0,0,0,0
 , , , ,10070,9192,89,11128,53
 , , , ,10016,0,0,13434652,6720
 , , , ,10061,780,15,5520,15
 , , , ,10007,1456,20,960,12
 , , , ,10035,0,0,2420,3
 , , , ,10069,2985,15,6561,20
 , , , ,10005,3029,13,10818,12
 , , , ,74,0,0,0,0
 , , , ,93,475,9,1565,18
 , , , ,10020,0,0,7168,8
 , , , ,10066,0,0,0,0
 , , , ,10017,0,0,0,0
 , , , ,10037,0,0,10792,13
 , , , ,10053,0,0,0,0
 , , , ,10022,0,0,0,0
 , , , ,10058,0,0,0,0
 , , , ,10026,0,0,0,0
 , , , ,10042,0,0,7120,8
 , , , ,10019,0,0,0,0
 , , , ,10001,0,0,0,0
 , , , ,28,0,0,0,0
 , , , ,10068,0,0,0,0
 , , , ,10048,0,0,0,0
 , , , ,10036,0,0,0,0
 , , , ,10055,0,0,0,0
 , , , ,10071,0,0,0,0
 , , , ,10039,0,0,0,0
 , , , ,10046,0,0,0,0
 , , , ,81,0,0,0,0
 , , , ,10023,0,0,0,0
 , , , ,998,0,0,0,0
 , , , ,10038,0,0,0,0
 , , , ,10025,0,0,0,0
 , , , ,10050,0,0,0,0
 , , , ,10078,0,0,0,0
21 04 2016,00:37:43, , ,0,45024,617,21524,387
 , , , ,10018,0,0,0,0
 , , , ,10070,10200,91,6584,47
 , , , ,10016,0,0,34760,117
 , , , ,10061,868,16,5520,15
 , , , ,10007,1456,20,960,12
 , , , ,10035,0,0,3584,4
 , , , ,10069,2985,15,2985,15
 , , , ,10005,6110,27,21636,24
 , , , ,74,0,0,0,0
 , , , ,93,346,7,1043,12
 , , , ,10020,0,0,0,0
 , , , ,10066,896,6,3584,4
 , , , ,10017,0,0,0,0
 , , , ,10037,0,0,3584,4
 , , , ,10053,0,0,0,0
 , , , ,10022,0,0,0,0
 , , , ,10058,0,0,0,0
 , , , ,10026,0,0,0,0
 , , , ,10042,0,0,7168,8
 , , , ,10019,0,0,0,0
 , , , ,10001,0,0,0,0
 , , , ,28,0,0,0,0
 , , , ,10068,0,0,0,0
 , , , ,10048,0,0,0,0
 , , , ,10036,0,0,0,0
 , , , ,10055,0,0,0,0
 , , , ,10071,0,0,0,0
 , , , ,10039,0,0,0,0
 , , , ,10046,0,0,0,0
 , , , ,81,0,0,0,0
 , , , ,10023,0,0,0,0
 , , , ,998,0,0,0,0
 , , , ,10038,0,0,0,0
 , , , ,10025,0,0,0,0
 , , , ,10050,0,0,0,0
 , , , ,10078,0,0,0,0
21 04 2016,00:52:43, , ,0,217595,2284,195236,1310
 , , , ,10018,0,0,0,0
 , , , ,10070,9192,89,3960,45
 , , , ,10016,0,0,265536,1492
 , , , ,10061,780,15,5520,15
 , , , ,10007,1456,20,960,12
 , , , ,10035,0,0,7168,8
 , , , ,10069,2985,15,2985,15
 , , , ,10005,3081,14,10818,12
 , , , ,74,0,0,191368,412
 , , , ,93,7017,55,1044,12
 , , , ,10020,0,0,0,0
 , , , ,10066,0,0,0,0
 , , , ,10017,0,0,10752,12
 , , , ,10037,0,0,3584,4
 , , , ,10053,0,0,0,0
 , , , ,10022,0,0,0,0
 , , , ,10058,0,0,0,0
 , , , ,10026,0,0,0,0
 , , , ,10042,0,0,0,0
 , , , ,10019,0,0,0,0
 , , , ,10001,0,0,0,0
 , , , ,28,0,0,0,0
 , , , ,10068,0,0,0,0
 , , , ,10048,0,0,0,0
 , , , ,10036,0,0,0,0
 , , , ,10055,0,0,0,0
 , , , ,10071,0,0,0,0
 , , , ,10039,0,0,0,0
 , , , ,10046,0,0,0,0
 , , , ,81,0,0,0,0
 , , , ,10023,0,0,0,0
 , , , ,998,0,0,0,0
 , , , ,10038,0,0,0,0
 , , , ,10025,0,0,0,0
 , , , ,10050,0,0,0,0
 , , , ,10078,0,0,0,0
21 04 2016,01:07:43, , ,0,96696,1033,137003,854
 , , , ,10018,0,0,0,0
 , , , ,10070,9192,89,3960,45
 , , , ,10016,30588,480,206412,1095
 , , , ,10061,780,15,5520,15
 , , , ,10007,1456,20,960,12
 , , , ,10035,0,0,0,0
